SIDN,District,HS,NumStudents,NumExams,NumPass,PerctPass
0701601,Beaufort,Riverview Charter School,1,1,NA,NA
0801001,Berkeley,Stratford High,205,231,129,0.5584
0801002,Berkeley,Berkeley High,151,180,73,0.4056
0801006,Berkeley,Cross High,35,39,NA,NA
0801007,Berkeley,Goose Creek High,141,173,84,0.4855
0801008,Berkeley,Hanahan High,103,121,82,0.6777
0801012,Berkeley,Berkeley Middle,1,1,NA,NA
0801022,Berkeley,Westview Middle,3,3,NA,NA
0801043,Berkeley,Timberland High,31,38,NA,NA
0801047,Berkeley,Sangaree Middle,2,3,NA,NA
0801048,Berkeley,Daniel Island School,10,10,9,0.9
0801049,Berkeley,Cane Bay High,352,545,226,0.4147
0801051,Berkeley,Berkeley County Middle College High,1,1,NA,NA
0801052,Berkeley,Cane Bay Middle,55,87,26,0.2989
0801055,Berkeley,Philip Simmons Middle,3,3,NA,NA
0801056,Berkeley,Philip Simmons High,170,218,150,0.6881
1001001,Charleston,Baptist Hill High,12,12,NA,NA
1001002,Charleston,North Charleston High,21,21,NA,NA
1001010,Charleston,Burke High,20,26,NA,NA
1001014,Charleston,Wando High,1197,2396,1669,0.6966
1001018,Charleston,Military Magnet Academy,24,24,NA,NA
1001020,Charleston,St. Johns High,13,13,NA,NA
1001022,Charleston,RB Stall High,134,199,53,0.2663
1001044,Charleston,Haut Gap Middle,2,2,NA,NA
1001051,Charleston,Laing Middle,8,8,NA,NA
1001065,Charleston,Moultrie Middle,3,4,NA,NA
1001094,Charleston,Buist Academy,2,2,NA,NA
1001098,Charleston,Charleston School of the Arts,376,697,451,0.6471
1001099,Charleston,Academic Magnet High,534,1525,1358,0.8905
1001103,Charleston,Thomas C. Cario Middle,1,1,NA,NA
1001104,Charleston,West Ashley High,5,5,NA,NA
1001104,Charleston,West Ashley High,244,340,148,0.4353
1001121,Charleston,Lucy Garrett Beckham High,181,195,111,0.5692
1001616,Charleston,James Island Charter High,290,377,195,0.5172
1001620,Charleston,Charleston Charter School for Math and Science,73,94,24,0.2553
1001630,Charleston,Allegro Charter School of Music,6,6,NA,NA
1101001,Cherokee,Blacksburg High,77,96,30,0.3125
1101002,Cherokee,John E. Ewing Middle,1,1,NA,NA
1101003,Cherokee,Gaffney High,110,168,110,0.6548
1101007,Cherokee,Blacksburg Middle,1,1,NA,NA
1101024,Cherokee,Gaffney Middle,1,1,NA,NA
1201002,Chester,Chester Senior High,10,10,NA,NA
1201006,Chester,Lewisville High,11,11,NA,NA
1301001,Chesterfield,Cheraw High,26,35,14,0.4
1301002,Chesterfield,Chesterfield High,7,7,NA,NA
1301006,Chesterfield,McBee High,6,6,NA,NA
1301007,Chesterfield,Central High,9,9,NA,NA
1402007,Clarendon 2,Manning High,19,19,10,0.5263
1403016,Clarendon 3,East Clarendon Middle-High,1,1,NA,NA
